timestamp,dest,src,rssi
"07/03/2024,15:08:08.208798",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-57
"07/03/2024,15:08:08.624776",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-57
"07/03/2024,15:08:08.873032",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-56
"07/03/2024,15:08:09.134813",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:09.330188",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:09.434686",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:09.485531",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:09.869336",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:09.942824",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:09.971472",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:10.162215",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:10.256703",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-57
"07/03/2024,15:08:10.520328",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-57
"07/03/2024,15:08:10.591743",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:10.839749",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-57
"07/03/2024,15:08:10.896771",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:10.903775",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-57
"07/03/2024,15:08:11.320147",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:11.559743",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:11.807226",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:11.868907",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:11.942393",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:12.058006",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:12.090809",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:12.138443",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:12.424535",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:12.548596",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:12.640845",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-59
"07/03/2024,15:08:12.862241",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:13.214050",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:13.252705",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:13.395813",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-58
"07/03/2024,15:08:13.458425",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-60
"07/03/2024,15:08:13.693940",44:12:44:6a:58:82,4a:a9:a6:bd:9f:b5,-60
