timestamp,dest,src,rssi
1709954190.0089285,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-69
1709954190.0951488,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-74
1709954190.6817737,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-70
1709954190.7770145,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709954190.8428354,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-78
1709954190.8573046,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-72
1709954190.9005437,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-69
1709954190.944521,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-70
1709954190.976185,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709954191.0130308,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-65
1709954191.0315042,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-68
1709954191.0527582,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-67
1709954191.0708082,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-72
1709954191.134836,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709954191.1913908,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709954191.2399814,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709954191.2730677,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709954191.2967246,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-65
1709954191.457272,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-67
1709954191.5850365,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-75
1709954191.643168,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709954191.7143703,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-68
1709954191.7516556,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-65
1709954191.8237417,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-65
1709954191.868306,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709954192.3033671,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709954192.5090394,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-67
1709954192.6186802,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-68
1709954192.650549,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709954192.7274506,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-72
1709954193.0504942,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-68
1709954193.1115,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-68
1709954193.2671573,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709954193.2954288,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-69
1709954193.3164485,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-68
1709954193.3314178,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709954193.4173398,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709954193.439162,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-74
1709954193.4524348,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709954193.4855874,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-76
1709954193.5353653,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-77
1709954193.575945,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-69
1709954193.6233323,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709954193.6490662,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-63
1709954193.682532,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709954193.7239518,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-68
1709954193.7371905,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709954193.7523856,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-63
1709954193.8071146,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-61
1709954193.8629768,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-62
1709954193.8787735,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-62
1709954193.957104,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-61
1709954194.0017462,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709954194.0268087,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709954194.0571616,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-70
1709954194.0961645,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709954194.1722486,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-70
1709954194.2414026,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-68
1709954194.3107438,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-65
1709954194.3886588,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-62
1709954194.4218123,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-62
1709954194.4984958,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-62
1709954194.5564559,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-60
1709954194.6349502,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-62
1709954194.6877415,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-61
1709954194.7777922,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709954194.82094,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-67
1709954194.9176455,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-62
1709954194.980202,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-60
1709954195.0819848,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-70
1709954195.178182,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-62
1709954195.3086665,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-61
1709954195.3691807,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-60
1709954195.5450683,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-57
1709954195.6348424,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-57
1709954195.7580907,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-56
1709954195.802355,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-56
1709954195.942072,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-58
1709954196.0662029,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-63
1709954196.110594,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-62
1709954196.1859052,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-61
1709954196.2171535,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-58
1709954196.2851024,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-60
1709954196.3487809,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709954196.419616,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-63
1709954196.454668,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709954196.499043,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-63
1709954196.531735,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-59
1709954196.5703967,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709954196.5984647,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-61
1709954196.6713772,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-59
1709954196.6917758,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-61
1709954196.7394698,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-58
1709954196.7572708,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-58
1709954196.8147237,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-59
1709954196.855542,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-63
1709954196.8987374,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-61
1709954196.9368522,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-57
1709954197.047268,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-52
1709954197.0978389,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-54
1709954197.1484177,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-53
1709954197.2929475,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-57
1709954197.3300643,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-60
1709954197.6364145,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-55
1709954197.735601,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-58
1709954197.8823853,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-57
1709954198.2736132,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-52
1709954198.4130347,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-58
1709954198.5409076,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-55
1709954198.6853213,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-58
1709954198.7323492,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-58
1709954198.7849288,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-58
1709954198.8230815,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-58
1709954198.9134405,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-63
1709954198.9410007,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-54
1709954198.9565492,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-58
1709954198.9686568,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-63
1709954198.9892743,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-56
1709954199.0196185,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-63
1709954199.0801475,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-63
1709954199.097054,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-56
1709954199.130134,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-51
1709954199.1646807,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-51
1709954199.1831188,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-53
1709954199.2160053,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-52
1709954199.238042,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-50
1709954199.3039098,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-52
1709954199.3258421,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-57
