timestamp,key
1709949398.795281,up
1709949400.0027034,up
1709949400.861796,up
1709949401.6965632,up
1709949402.5210865,up
1709949403.3496506,up
1709949404.0742364,up
1709949404.9965196,up
1709949405.6830559,right
1709949406.2997756,right
1709949406.9808865,right
1709949407.7086773,right
1709949408.4134927,right
1709949409.444621,right
1709949410.1425953,right
1709949410.750273,middle
1709949411.452661,right
1709949412.1604304,right
1709949412.89238,right
1709949413.5604386,right
1709949414.203915,right
1709949415.052265,right
1709949415.763707,down
1709949416.703269,down
1709949417.4311273,down
1709949418.1013288,down
1709949418.7706125,right
1709949419.4626286,right
1709949420.304706,right
1709949421.0002575,right
1709949421.7679803,right
1709949422.481233,up
1709949423.2841964,up
1709949423.9888322,up
1709949424.632769,up
1709949425.4546468,up
