timestamp,dest,src,rssi
1709939569.0530229,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-66
1709939569.1179461,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-64
1709939569.162851,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-64
1709939569.1667783,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-78
1709939569.175122,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-82
1709939569.185735,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-84
1709939569.2150545,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-84
1709939569.22171,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-83
1709939569.2499137,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-64
1709939569.253547,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-78
1709939569.3001301,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-66
1709939569.3077383,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-85
1709939569.320048,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-78
1709939569.416348,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-72
1709939569.4475472,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-79
1709939569.491527,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-67
1709939569.5046284,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-68
1709939569.553954,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-68
1709939569.5978327,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-66
1709939569.60241,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-66
1709939569.6657681,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-66
1709939569.6843517,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-67
1709939569.7923641,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-71
1709939569.8113668,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-78
1709939569.8339467,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-80
1709939569.8667104,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-80
1709939569.8954468,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-75
1709939569.9131336,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-78
1709939569.921394,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-80
1709939569.9372315,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-83
1709939569.9696968,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-76
1709939569.980009,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-78
1709939570.0435367,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-78
1709939570.0554304,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-80
1709939570.0847828,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-89
1709939570.1209705,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-67
1709939570.2064571,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-70
1709939570.2927954,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-73
1709939570.3159297,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-74
1709939570.3471146,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-80
1709939570.41721,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-71
1709939570.4411156,82:67:fb:33:8f:90,c8:09:a8:08:4f:b7,-76
