timestamp,dest,src,rssi
1709949397.230046,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-62
1709949397.2406404,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-75
1709949397.2489088,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-72
1709949397.3294973,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-62
1709949397.3528063,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-65
1709949397.3636892,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709949397.412622,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-65
1709949397.446505,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-63
1709949397.4639626,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-72
1709949397.4967394,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-73
1709949397.5219069,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-62
1709949397.5350666,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-73
1709949397.5779462,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709949397.6634963,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-70
1709949397.7381947,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709949398.0904908,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-78
1709949398.111765,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-85
1709949398.1818504,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-72
1709949398.2780352,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709949398.327566,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-75
1709949398.3567176,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-70
1709949398.3932054,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-67
1709949398.4116497,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-67
1709949398.432081,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709949398.4424531,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709949398.4479797,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-76
1709949398.4524398,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-65
1709949398.4574425,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-75
1709949398.5598474,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709949398.5953386,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-67
1709949398.6083336,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-68
1709949398.7111473,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-72
1709949398.7224329,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-72
1709949398.742171,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-70
1709949398.8268945,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-68
1709949398.8451736,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-79
1709949398.9257634,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-76
1709949398.9334056,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709949398.961853,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-70
1709949398.9952886,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-72
1709949399.0081375,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-79
1709949399.0659366,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-70
1709949399.1422935,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709949399.2115388,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-76
1709949399.2155561,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709949399.2280638,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709949399.248,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-70
1709949399.2663069,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-69
1709949399.2839286,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-74
1709949399.3091161,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-69
1709949399.3238504,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-79
1709949399.3308797,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-69
1709949399.353369,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-73
1709949399.4094427,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709949399.4177718,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-80
1709949399.4661703,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709949399.4730837,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-80
1709949399.497816,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-68
1709949399.5036855,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-79
1709949399.5314136,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-67
1709949399.5912228,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-68
1709949399.6943882,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-65
1709949399.7267468,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-65
1709949399.7394254,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709949399.753796,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-74
1709949399.820595,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-63
1709949399.8681014,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-65
1709949399.9249258,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-70
1709949399.9551535,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709949400.0025907,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-65
1709949400.0698895,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-57
1709949400.077512,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-58
1709949400.1464183,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-58
1709949400.2245572,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-74
1709949400.2865224,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-61
1709949400.4886653,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-69
1709949400.5445716,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-70
1709949400.585633,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709949400.6408384,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709949400.6624272,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709949400.7111113,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-74
1709949400.8364425,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-65
1709949400.861705,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709949400.8747535,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709949400.9038749,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-67
1709949400.984143,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-63
1709949401.0641909,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709949401.113127,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709949401.1466975,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-71
1709949401.1997137,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-74
1709949401.2281814,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-68
1709949401.2697928,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-66
1709949401.3035393,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709949401.3474789,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-64
1709949401.3908231,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-65
1709949401.410055,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-70
1709949401.468605,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-78
1709949401.499247,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-75
1709949401.5148396,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-84
1709949401.548514,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-74
1709949401.596613,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-68
1709949401.606882,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-76
1709949401.6117918,36:a1:f0:21:da:7b,c8:09:a8:08:4f:b7,-77
