timestamp,key
1709951253.780766,up
1709951253.8112798,up
1709951253.8394,up
1709951253.8400578,up
1709951253.8403494,up
1709951253.8405821,up
1709951253.840829,up
1709951253.8418198,up
1709951253.8421583,up
1709951253.8424056,up
1709951253.842633,up
1709951253.8428614,up
1709951253.8430872,up
1709951253.8433359,up
1709951253.8436174,up
1709951253.8439143,up
1709951253.8447368,up
1709951253.8451831,up
1709951253.8459735,up
1709951253.8464558,up
1709951253.8468416,up
1709951253.847375,up
1709951253.8478382,up
1709951253.8482707,up
1709951253.8657687,up
1709951253.8871758,up
1709951253.8911705,up
1709951253.9184933,up
1709951253.9639704,up
1709951253.9705539,up
1709951253.9921153,up
1709951254.0128462,up
1709951254.0466795,up
1709951254.0772922,up
1709951254.0967057,up
1709951254.1114829,up
1709951254.1275382,up
1709951254.149301,up
1709951254.1656227,up
1709951254.177383,up
1709951254.1930711,up
1709951254.2120876,up
1709951254.2290235,up
1709951254.2347815,up
1709951254.2631192,up
1709951254.2980788,up
1709951254.2991056,up
1709951254.3096523,up
1709951254.3265922,up
1709951254.3270628,up
1709951254.3273382,up
1709951254.3276112,up
1709951254.3339581,up
1709951254.3457935,up
1709951254.369135,up
1709951254.3702023,up
1709951254.3707776,up
1709951254.371206,up
1709951254.371562,up
1709951254.3849294,up
1709951254.410156,up
1709951254.4354758,up
1709951254.4617317,up
1709951254.4749064,up
1709951254.4965098,up
1709951254.5090818,up
1709951254.5371878,up
1709951254.5688264,up
1709951254.5898893,up
1709951254.6126268,up
1709951254.6322336,up
1709951254.6531596,up
1709951254.6678817,up
1709951254.668531,up
1709951254.6694403,up
1709951254.6706374,up
1709951254.6718743,up
1709951254.6878493,up
1709951254.7023573,up
1709951254.7332807,up
1709951254.7687683,up
1709951254.7697248,up
1709951254.7701993,up
1709951254.7704954,up
1709951254.770765,up
1709951254.7712443,up
1709951254.7715604,up
1709951254.7719083,up
1709951254.7722323,up
1709951254.7724977,up
1709951254.7727408,up
1709951254.7729814,up
1709951254.7732239,up
1709951254.773462,up
1709951254.773904,up
1709951254.7742288,up
1709951254.774554,up
1709951254.7750435,up
1709951254.775518,up
1709951254.7758176,up
1709951254.7761354,up
1709951254.776458,up
1709951254.7767556,up
1709951254.777048,up
1709951254.7774863,up
1709951254.7782338,up
1709951254.7789674,up
1709951254.7797918,up
1709951254.780472,up
1709951254.781046,up
1709951254.7816274,up
1709951254.782215,up
1709951254.7909982,up
1709951254.816526,up
1709951254.8333757,up
1709951254.8730066,up
1709951254.8899968,up
1709951254.9198146,up
1709951254.9461143,up
1709951254.9594557,up
1709951254.991743,up
1709951255.013912,up
1709951255.0396903,up
1709951255.0636811,up
1709951255.0748866,up
1709951255.0942068,up
1709951255.1311603,up
1709951255.1458583,up
1709951255.1766098,up
1709951255.2118065,up
1709951255.2278023,up
1709951255.2505515,up
1709951255.2703946,up
1709951255.3043292,up
1709951255.3391197,up
1709951255.3578796,up
1709951255.383142,up
1709951255.38451,up
1709951255.3851469,up
1709951255.385694,up
1709951255.3861706,up
1709951255.386637,up
1709951255.3870487,up
1709951255.3875356,up
1709951255.3879342,up
1709951255.3883293,up
1709951255.3886852,up
1709951255.3890228,up
1709951255.389367,up
1709951255.3898547,up
1709951255.3902366,up
1709951255.3906722,up
1709951255.3911252,up
1709951255.3915446,up
1709951255.391943,up
1709951255.392548,up
1709951255.3930259,up
1709951255.3934376,up
1709951255.394203,up
1709951255.3949888,up
1709951255.4028327,up
1709951255.4041207,up
1709951255.4277158,up
1709951255.42851,up
1709951255.4500248,up
1709951255.4934282,up
1709951255.5165987,up
1709951255.5420887,up
1709951255.5731645,up
1709951255.5937865,up
1709951255.6126807,up
1709951255.6377783,up
1709951255.6642761,up
1709951255.6914072,up
1709951255.7110481,up
1709951255.7782228,up
1709951255.7794418,up
1709951255.780396,up
1709951255.78093,up
1709951255.781299,up
1709951255.7818997,up
1709951255.7824044,up
1709951255.7828093,up
1709951255.7831373,up
1709951255.7834682,up
1709951255.78378,up
1709951255.784257,up
1709951255.7845218,up
1709951255.7847583,up
1709951255.7849905,up
1709951255.7852483,up
1709951255.7855027,up
1709951255.7936847,up
1709951255.794374,up
1709951255.7947733,up
1709951255.7950325,up
1709951255.7953136,up
1709951255.7955549,up
1709951255.7957938,up
1709951255.7960231,up
1709951255.7962677,up
1709951255.7965255,up
1709951255.7967708,up
1709951255.7969942,up
1709951255.7972255,up
1709951255.7974484,up
1709951255.7977245,up
1709951255.7979476,up
1709951255.7981699,up
1709951255.7983885,up
1709951255.7986171,up
1709951255.7988343,up
1709951255.799052,up
1709951255.7992706,up
1709951255.7994957,up
1709951255.7997122,up
1709951255.7999291,up
1709951255.8001451,up
1709951255.800359,up
1709951255.800574,up
1709951255.8007898,up
1709951255.801009,up
1709951255.801253,up
1709951255.8014936,up
1709951255.8018086,up
1709951255.8020725,up
1709951255.8023326,up
